content;group;start;title
Marseille;?;2017-04-18;2017-04-18
Bihorel, Roanne et Villen;?;2017-05-02;2017-05-02
Évreux;?;2017-05-05;2017-05-05
Haubourdin et Lille;?;2017-05-24;2017-05-24
Tarascon;?;2017-06-28;2017-06-28
Argenteuil;?;2017-07-01;2017-07-01
Lille et Anderlecht (Belg;?;2017-07-05;2017-07-05
Saint-Denis (Seine-Saint-;?;2017-08-22;2017-08-22
Villejuif;?;2017-09-06;2017-09-06
Centre pénitentiaire de F;?;2017-10-02;2017-10-02
France (Bouches-du-Rhône,;?;2017-11-07;2017-11-07
Carcassonne et Trèbes (Au;?;2018-03-23;"2018-03-23 : Série d'attaques dans l'Aude : trois attaques sont perpétrées par Radouane Lakdim, un franco-marocain originaire du Maroc et âgé de 25 ans, dans un premier temps contre deux passagers d'une voiture et 4 CRS lors d'une fusillade à Carcassonne et ensuite contre des clients d'un supermarché dans une prise d'otage à Trèbes. Le bilan est de 5 morts dont le terroriste et 15 blessés dont deux graves. Les attaques sont revendiquées par l'État islamique[1].
"
Paris (2e arrondissement);?;2018-05-12;"2018-05-12 : Attaque au couteau à Paris : Khamzat Azimov, un franco-russe originaire de Tchétchénie et âgé de 20 ans, poignarde plusieurs dans le quartier de l'Opéra et tente de s'en prendre à des policiers avant d'être abattu. Il fait 1 mort et 4 blessés dont 2 gravement. L'attaque est revendiquée par l'État islamique[2].
"
Strasbourg (Bas-Rhin);16;2018-12-11;"2018-12-11 : Fusillade à Strasbourg : Chérif Chekatt, un Strasbourgeois âgé de 29 ans, ouvre le feu aux abords du marché de Noël, tue 5 personnes et en blesse 11 autres. Le tireur est blessé par un militaire de l'Opération Sentinelle avant de prendre la fuite. Il est finalement abattu par la police le surlendemain dans le quartier du Neudorf. L'attaque est revendiquée par l'État islamique[3],[4].
"
Nîmes (Gard);?;2018-01-16;2018-01-16
Grenoble (Isère);?;2018-03-13;2018-03-13
Paris (18e arrondissement;?;2018-05-11;2018-05-11
Belgique,France;?;2018-06-08;2018-06-08
Seine-et-Marne;?;2018-06-09;2018-06-09
Châteauroux (Indre);?;2018-06-13;2018-06-13
France;?;2018-06-24;2018-06-24
France, Belgique Allemagn;?;2018-06-30;2018-06-30
Albi (Tarn);?;2018-07-17;2018-07-17
Bouzonville (Moselle);?;2018-11-06;2018-11-06
Saint-Étienne;?;2018-11-13;2018-11-13
